autor,titulo,enlace_afiliado
Carlos Ruiz Zafón,"La sombra del viento","https://www.amazon.es/s?k=sombra+del+viento&i=software&__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=24R4X1IMJ76O2&sprefix=sombra+del+viento%2Csoftware%2C63&linkCode=ll2&tag=nexora090-21&linkId=5d3d3310725f4d1ac96456773e8bff8e&language=es_ES&ref_=as_li_ss_tl"
Dan Brown,"El último secreto (Kindle)","https://www.amazon.es/El-%C3%BAltimo-secreto-Planeta-Internacional-ebook/dp/B0F71LGDGT?crid=1R095WBF5VUN6&dib=eyJ2IjoiMSJ9.YsRT0N6sgAughPJ_BTJM775PqtsYpUsHTVSjYeMehGNehlXC1PLjvW2HM6HWqQpB2DKNtYf6ZG1lwwawViAZOrkIQ__o3flt8voQgDgRaT1j3jn44Jqk8IX5ei6E9kyyu2T8mMxD8_I0G1r3R8HyX2sDSlTCq308M0L8DFUpWsjF-C0xpz3RTobudZSfcw0Bs3Rwti3oZ5NuBgmwEB0m7Q4TfR5q1deGiv9vYRejo3W0vwNG6iDrFsAg3ZIQYbG0LPf2WZ3bG5kwB8bIJ64JOjvReLA6hrjYke8j9C_CrtI.WqB01sp1wlzllYYR55BoxG7U5NiAIUc3Q67WcEqGSbY&dib_tag=se&keywords=dan+brown+el+ultimo+secreto&qid=1761060284&sprefix=dan+%2Caps%2C105&sr=8-1&linkCode=ll1&tag=nexora090-21&linkId=bd72838240c2bea93d6d138ca7b1d851&language=es_ES&ref_=as_li_ss_tl"
Ken Follett,"El círculo de los días (tapa dura)","https://www.amazon.es/El-c%C3%ADrculo-los-d%C3%ADas-%C3%89xitos/dp/840103681X?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3A4O3TQT0LD9&dib=eyJ2IjoiMSJ9.9UPgrbn4n6tY6iTflCznhVUSNQTJtBN49HrbuYDOU9ZGkRUgg8ru4xraNlXF994t5E30U48BX-Xe0bSRY_I44ga2MHfQrqwXti7NIgJ96UaZ44vdRdGVXY5IE5ItksdBFME0NkMgK3CwHmqbqohJL7-l9-cr7UtyJbZ91MAb92RBRRdS6szhk2tjjOKBb8O09aRCXrbZxLJz4C9ah3keWrHwsfMwZoqZtPUE4H0wEik.F4sm5kbIqqEcGyzkXDtgcejQJSCwbqiuFbIEbezA_H8&dib_tag=se&keywords=ken+follet&qid=1761060500&s=software&sprefix=ken+follet%2Csoftware%2C66&sr=1-1&linkCode=ll1&tag=nexora090-21&linkId=b98482cc111504c13c49688ff011efbd&language=es_ES&ref_=as_li_ss_tl"
Ken Follett,"El círculo de los días (Kindle)","https://www.amazon.es/c%C3%ADrculo-los-d%C3%ADas-Ken-Follett-ebook/dp/B0FBS4F7K7?_encoding=UTF8&dib_tag=se&dib=eyJ2IjoiMSJ9.9UPgrbn4n6tY6iTflCznhVUSNQTJtBN49HrbuYDOU9ZGkRUgg8ru4xraNlXF994t5E30U48BX-Xe0bSRY_I44ga2MHfQrqwXti7NIgJ96UaZ44vdRdGVXY5IE5ItksdBFME0NkMgK3CwHmqbqohJL7-l9-cr7UtyJbZ91MAb92RBRRdS6szhk2tjjOKBb8O09aRCXrbZxLJz4C9ah3keWrHwsfMwZoqZtPUE4H0wEik.F4sm5kbIqqEcGyzkXDtgcejQJSCwbqiuFbIEbezA_H8&qid=1761060500&sr=1-1&linkCode=ll1&tag=nexora090-21&linkId=2479d4a503ebab03a47fdf414e9d85c4&language=es_ES&ref_=as_li_ss_tl"
Mario Vargas Llosa,"La ciudad y los perros (edición conmemorativa)","https://www.amazon.es/ciudad-edici%C3%B3n-conmemorativa-cincuentenario-Edici%C3%B3n/dp/8420412333?crid=1V6OTQG0VCVI1&dib=eyJ2IjoiMSJ9.dU7nCkB9K_dYMhJKcP-tz8o6YuA-hjPjF6Jljf6pcBwR_HqIPuMAtaHDFMEAsXgPMOhFLaufWxcIVgFevAkmu4FQhbljCLRCyJp2ekI5jFKVR983XIalulwTmtdU3ja0ohSgHNCoKWiSvDibsSfORtZnPY24ZFoVoFrt8mUQ7FBMnv_qLZXxiuT9ummjoYz-FnYkRrzZCoHxSj32VgIGnpdDKLEyO_uk2Ut-E6H2Qgz6D4qT37F3PUFo0Rm8A6dnWJJgM7_xUT3usZ-ipjJaSKFtX9cInA9liRHawOPQyZA.8C9sqcJEHPkZEgPANyXBS4Q5L_BYKJZZvqUJyQBE5z0&dib_tag=se&keywords=mario+vargas+llosa+libros&qid=1761063212&sprefix=mario+vargas%2Caps%2C114&sr=8-2&linkCode=ll1&tag=nexora090-21&linkId=43fb75bc57c5dae34306263cffac5adb&language=es_ES&ref_=as_li_ss_tl"
Mario Vargas Llosa,"La ciudad y los perros (Kindle)","https://www.amazon.es/ciudad-edici%C3%B3n-cincuentenario-Edici%C3%B3n-conmemorativa-ebook/dp/B07NY43XY7?_encoding=UTF8&dib_tag=se&dib=eyJ2IjoiMSJ9.dU7nCkB9K_dYMhJKcP-tz8o6YuA-hjPjF6Jljf6pcBwR_HqIPuMAtaHDFMEAsXgPMOhFLaufWxcIVgFevAkmu4FQhbljCLRCyJp2ekI5jFKVR983XIalulwTmtdU3ja0ohSgHNCoKWiSvDibsSfORtZnPY24ZFoVoFrt8mUQ7FBMnv_qLZXxiuT9ummjoYz-FnYkRrzZCoHxSj32VgIGnpdDKLEyO_uk2Ut-E6H2Qgz6D4qT37F3PUFo0Rm8A6dnWJJgM7_xUT3usZ-ipjJaSKFtX9cInA9liRHawOPQyZA.8C9sqcJEHPkZEgPANyXBS4Q5L_BYKJZZvqUJyQBE5z0&qid=1761063212&sr=8-2&linkCode=ll1&tag=nexora090-21&linkId=2122bae3dd7be701e544e520026f11da&language=es_ES&ref_=as_li_ss_tl"
Mario Vargas Llosa,"La ciudad y los perros (bolsillo Punto de Lectura)","https://www.amazon.es/Ciudad-los-perros-Punto-Lectura/dp/846630116X?_encoding=UTF8&dib_tag=se&dib=eyJ2IjoiMSJ9.dU7nCkB9K_dYMhJKcP-tz8o6YuA-hjPjF6Jljf6pcBwR_HqIPuMAtaHDFMEAsXgPMOhFLaufWxcIVgFevAkmu4FQhbljCLRCyJp2ekI5jFKVR983XIalulwTmtdU3ja0ohSgHNCoKWiSvDibsSfORtZnPY24ZFoVoFrt8mUQ7FBMnv_qLZXxiuT9ummjoYz-FnYkRrzZCoHxSj32VgIGnpdDKLEyO_uk2Ut-E6H2Qgz6D4qT37F3PUFo0Rm8A6dnWJJgM7_xUT3usZ-ipjJaSKFtX9cInA9liRHawOPQyZA.8C9sqcJEHPkZEgPANyXBS4Q5L_BYKJZZvqUJyQBE5z0&qid=1761063212&sr=8-2&linkCode=ll1&tag=nexora090-21&linkId=5b3b1f9833ea426ceaf02ce5f78a814b&language=es_ES&ref_=as_li_ss_tl"
Mario Vargas Llosa,"La ciudad y los perros (tapa blanda Letras Hispánicas)","https://www.amazon.es/ciudad-los-perros-Letras-Hisp%C3%A1nicas/dp/8437638976?_encoding=UTF8&dib_tag=se&dib=eyJ2IjoiMSJ9.dU7nCkB9K_dYMhJKcP-tz8o6YuA-hjPjF6Jljf6pcBwR_HqIPuMAtaHDFMEAsXgPMOhFLaufWxcIVgFevAkmu4FQhbljCLRCyJp2ekI5jFKVR983XIalulwTmtdU3ja0ohSgHNCoKWiSvDibsSfORtZnPY24ZFoVoFrt8mUQ7FBMnv_qLZXxiuT9ummjoYz-FnYkRrzZCoHxSj32VgIGnpdDKLEyO_uk2Ut-E6H2Qgz6D4qT37F3PUFo0Rm8A6dnWJJgM7_xUT3usZ-ipjJaSKFtX9cInA9liRHawOPQyZA.8C9sqcJEHPkZEgPANyXBS4Q5L_BYKJZZvqUJyQBE5z0&qid=1761063212&sr=8-2&linkCode=ll1&tag=nexora090-21&linkId=cb35992256cb08c97cfa517a1f1a84af&language=es_ES&ref_=as_li_ss_tl"
Laura Esquivel,"Como agua para chocolate","https://www.amazon.es/Como-agua-para-chocolate-SELLER/dp/8466329080?crid=BLHJ32WEJDT6&dib=eyJ2IjoiMSJ9.hYWPNqBZ_vNs8w6W6FHiUAszaVIKYIg1ob8EdV9vihb7dLUc4BRtf4lgR-lbACCU1PiyiZyLRnc4_xRUoXcoutmTrIpk-XeX85dhmgKdKWss7DVNfk10fwCe-M8lJR6uAxcb8bdl9r2tsl8T-stv-VeK42_ZyWBuKKT0OKgLcssJkV_KXt-hB1gFDoyD7SJQrxntDq1CB3PqhQWDN55GDO6QrP5dyWva2yOARzcmZ3uZhJ1L-IC3zA7L6O_O-rauxMVG2fD_30FU1LZ_tWliaLjCkCJPVuK9iXpXHmPUzKQ.zlOE3okT_xOXOZS2hyUWsIjtoZa2EJ5VVelNb8LbWes&dib_tag=se&keywords=laura+esquivel+como+agua+para+chocolate&qid=1761063699&sprefix=laura+esquivel%2Caps%2C87&sr=8-1&linkCode=ll1&tag=nexora090-21&linkId=b6094809aff533af6267558c217310c6&language=es_ES&ref_=as_li_ss_tl"
Isabel Allende,"La casa de los espíritus","https://www.amazon.es/esp%C3%ADritus-edici%C3%B3n-limitada-pintados-CAMPA%C3%91AS/dp/8466380817?crid=31ZH8T2PQOY75&dib=eyJ2IjoiMSJ9.MYpuBCmL8RBMHZsXaberrcW2nte9szlsD5IABGG31fPB-vVckmiPlqoIfQvLdnjosgrXESxCp2nUqoBlzp_RffrTw-rnxhu1LCnOgy52uhyhYED8B7IUdT9dwy3VY8jrX-SFafM5FtUEOIe2yu1knvBcdhhUiBKxKVW0qfuRchii084VpdFyHbzZwEjgBszz4VXBeb6eWftPoDxBssj1s2qolzhiAzwv5CiGpFzCZXgTiJH7CvESlWQzycOnITC2o5DY8yVYw7gHa1QuTkyAzuX973CL4s6OncOsClH779A.JsY619vq8ZirIb2GNJIR6XcdgMCglJEwrwv8fo5c2HM&dib_tag=se&keywords=la+casa+de+los+espiritus+isabel+allende&qid=1761063856&sprefix=la+casa+de+los%2Caps%2C114&sr=8-3&linkCode=ll1&tag=nexora090-21&linkId=c9635b7c7d92844290d76c9302c4f01d&language=es_ES&ref_=as_li_ss_tl"
